Step,Type,V_initial,V_initial_iR,V_final,V_final_iR,dV,dV_iR,duration,charge,A_1exp (mA),A_1exp_err,tau_1exp (ms),tau_1exp_err (ms),B_1exp (mA·s^0.5),B_1exp_err,C_1exp (mA),C_1exp_err,R2_1exp,BIC_1exp,|A|_1exp,|B|_1exp,|B|/dV_1exp,Q_exp_1exp (mC),A1_2exp (mA),A1_2exp_err,tau1_2exp (ms),tau1_2exp_err (ms),A2_2exp (mA),A2_2exp_err,tau2_2exp (ms),tau2_2exp_err (ms),C_2exp (mA),C_2exp_err,R2_2exp,BIC_2exp,delta_BIC,Best_Model,|A1|_2exp,|A2|_2exp,tau2/tau1,|A1|/|A2|,Q_fast (mC),Q_slow (mC),Q_total_2exp (mC),Q_fast/Q_total
2,FALLING,1.3205185774250299,1.32087295,1.3105807558695,1.3105807558695,0.009937821555529913,0.010292194130500087,3.999799898956553,0.016399999999999998,0.9214371724918871,0.0023432722931705737,17.405382611264134,0.04765008175187838,0.0007303860967471606,9.695230660964217e-05,-0.021013484938951478,0.00010018668907368913,0.9682426919855613,-197103.29567096292,0.9214371724918871,0.0007303860967471606,0.07349559384478345,16.03796653946268,0.791737321018726,0.05094715535203106,15.031758445109189,0.4499308115728267,0.16183318848507808,0.052422294440377507,29.928319855664245,2.966769964231929,-0.02046299883767562,5.20201576142553e-05,0.9685540507962519,-197280.46465118165,-177.16898021873203,2exp,0.791737321018726,0.16183318848507808,1.991005906923809,4.892305023649266,11.901204161531359,4.843395428243417,16.744599589774776,0.7107488057701257
4,FALLING,1.3405106318432627,1.34081205,1.310569998016,1.310569998016,0.029940633827262753,0.030242051984000096,3.999799898956539,0.05449999999999999,2.7621266559103566,0.002397041497668338,17.611677752648223,0.016413305687616533,0.004730078224784799,9.989121383482086e-05,-0.02361159112871999,0.00010311797989415721,0.9963407915498123,-196000.3039004447,2.7621266559103566,0.004730078224784799,0.15798190018535202,48.645684575893064,2.790322244129527,0.00439943234531474,16.742577047336646,0.03974647532774797,0.08719464933107184,0.004943534249642754,69.54238163045245,2.45613685672813,-0.019965229422938942,5.4030586935351384e-05,0.9964611306794815,-196649.02177767362,-648.717877228919,2exp,2.790322244129527,0.08719464933107184,4.153624703881236,32.00107191824206,46.7171851592359,6.063723579914873,52.780908739150775,0.8851152106932739
6,FALLING,1.3605507210995602,1.36058,1.3105690237120002,1.3105690237120002,0.049981697387559976,0.050010976287999664,3.999799898956539,0.0916,4.632526933146776,0.0024525070710311476,17.980136848364122,0.010178066401108063,0.0075580010542433546,0.00010349083696783338,-0.025940179417843184,0.00010664189478371793,0.9986394442468234,-194744.33712918687,4.632526933146776,0.0075580010542433546,0.15121537381250436,83.29346821171158,4.701252262626891,0.0032099424855113485,17.27866957485151,0.020695954662891963,0.10746199795728346,0.003490659484397266,84.29162209193117,1.900524528313303,-0.020213532448834327,5.484130501214298e-05,0.9987482542575561,-196390.94586912534,-1646.6087399384705,2exp,4.701252262626891,0.10746199795728346,4.87836298545894,43.74804444354046,81.23138443395308,9.058146121059217,90.2895305550123,0.8996766727506662
8,FALLING,1.3805553241783286,1.379635,1.3105664656689997,1.3105664656689997,0.0699888585093289,0.06906853433100024,3.9997998989564962,0.1317,6.48408816801881,0.0025518370500830097,18.529814281623988,0.007747646171246148,0.010224627392984957,0.00010964152944436792,-0.0278575501445696,0.00011268499042392021,0.9992531686535874,-192666.8424626363,6.48408816801881,0.010224627392984957,0.14608935780288665,120.14894953906406,6.589450363045248,0.0027154785897544687,17.891464918233456,0.013824517825417734,0.12691637582183574,0.0028180870059878495,96.91061856510065,1.5941735482835595,-0.02025761504246393,5.5479447170001245e-05,0.9993755551021413,-196225.1303460294,-3558.287883393088,2exp,6.589450363045248,0.12691637582183574,5.416583773771236,51.9196228254695,117.89492000086479,12.299544486934886,130.19446448779968,0.9055294360223167
10,FALLING,1.4006077635785688,1.396611,1.310566286184,1.310566286184,0.0900414773945688,0.0860447138160001,3.9997998989564962,0.17379999999999998,8.13644158940483,0.0027741220212647187,19.347029026182263,0.006942560025742109,0.013796185751052355,0.0001222665959284888,-0.030469394905857886,0.00012519151679482978,0.9994494866395829,-188637.5195541413,8.13644158940483,0.013796185751052355,0.15322033967297524,157.4159716000518,8.292208630431043,0.002415501138901516,18.71260434283436,0.010681587720684848,0.14648869287409172,0.002328375962061997,113.62665557749386,1.4306432619608769,-0.020429135410338622,5.803825155733151e-05,0.9995963743196867,-194822.49669045015,-6184.977136308851,2exp,8.292208630431043,0.14648869287409172,6.072198903783537,56.606475679035974,155.16881922949253,16.6450202512017,171.81383948069424,0.9031217723699608
12,FALLING,1.4206116958856458,1.4099749999999998,1.3105734313465,1.3105734313465,0.11003826453914578,0.0994015686534997,3.9997998989565957,0.2127,9.378986773064721,0.0032343364503360328,20.41511877012304,0.007321234655983927,0.018409977717335126,0.0001470558860132689,-0.034078897436564906,0.00014987627104056286,0.9994519643052512,-181660.43470229796,9.378986773064721,0.018409977717335126,0.1673052350874348,191.47312891552932,9.549995289995788,0.002996920086305312,19.497690877352884,0.011160989120878408,0.2394214378453142,0.0031695023416129686,101.67185992653131,0.9771389181986775,-0.020643310391831923,6.097430215262984e-05,0.9996831334410039,-192593.43936018358,-10933.004657885613,2exp,9.549995289995788,0.2394214378453142,5.21455902476257,39.8878035982971,186.20285604451388,24.342422892017506,210.5452789365314,0.8843839053766885
14,FALLING,1.4406748665853661,1.4196849999999999,1.3105710337944998,1.3105710337944998,0.13010383279086635,0.10911396620550007,3.99979989895661,0.2509,10.149838561951139,0.003977401364714438,21.648517305539418,0.008704450878324315,0.026552087029946082,0.0001869572127496906,-0.0398208830036226,0.00018958304989033584,0.9993216932074408,-172496.233185559,10.149838561951139,0.026552087029946082,0.20408381874980483,219.72895575683057,10.357843160620192,0.0036703012199653627,20.269182745594474,0.012263395331491005,0.3823331597266215,0.004003425399637073,97.06141443867104,0.7002491722605609,-0.020398177847048213,6.641481978992711e-05,0.999704507713137,-189088.9183045504,-16592.685118991416,2exp,10.357843160620192,0.3823331597266215,4.7886200276016275,27.09114524104142,209.94501587281653,37.109797269872224,247.05481314268874,0.8497912394508214
16,FALLING,1.4606853246901241,1.4267699999999999,1.3105764341005,1.3105764341005,0.15010889058962418,0.11619356589949992,3.9997998989564962,0.2818,10.62968955362586,0.0044817844021195295,22.86939292089281,0.00976778723407153,0.03459938592390683,0.00021718470941800683,-0.04607279840531049,0.00021920207822128892,0.9992453505336616,-166903.13108456947,10.62968955362586,0.03459938592390683,0.23049524773650154,243.09454702897952,10.82510213938813,0.00439073915021841,20.905833739581226,0.012974984351548957,0.5751861446202995,0.004886838659808693,89.61484135654587,0.48755588588493654,-0.02055048335579449,6.51310429822977e-05,0.9997591485051515,-189715.64470367305,-22812.513619103585,2exp,10.82510213938813,0.5751861446202995,4.286594951096219,18.82017194022321,226.30778554003328,51.54521510063138,277.8530006406647,0.8144874628606491
18,FALLING,1.4804251003558575,1.4324899999999998,1.3105672595974998,1.3105672595974998,0.16985784075835775,0.12192274040250006,3.9997998989565815,0.3119,10.874918252086037,0.005363369836509808,24.28260191597894,0.011960448718871503,0.0437657786383163,0.00026853161165631053,-0.052137453460956495,0.00026964436866475284,0.9990127914677347,-158844.93539882216,10.874918252086037,0.0437657786383163,0.25766122095345684,264.0713107842187,10.973930316420551,0.0055056105650714265,21.363221834710025,0.014345389398735996,0.8920411166046482,0.006143874559953491,81.90034850173545,0.3334869209354858,-0.019712466286525496,6.404730789120634e-05,0.999794733682127,-190224.0256076754,-31379.090208853246,2exp,10.973930316420551,0.8920411166046482,3.833707721401243,12.302045401438807,234.43850774834183,73.05847832779793,307.49698607613976,0.762409123874444
20,FALLING,1.5004113802079169,1.43674,1.3105691344650001,1.3105691344650001,0.18984224574291675,0.1261708655349998,3.9997998989565815,0.33899999999999997,11.036378263056383,0.005924357992545536,25.646906088837532,0.013570837877324937,0.0513307327761695,0.0003054077754433191,-0.05735713848048914,0.0003052568196539206,0.9988734693545983,-154080.01446321871,11.036378263056383,0.0513307327761695,0.27038624925287325,283.0489568734949,10.997236694726999,0.006445977839692441,21.812637299312453,0.015435091769437647,1.2066327784402135,0.007153530059854315,77.46903201876253,0.2561503972944648,-0.019168993696116906,6.244028091075476e-05,0.9998238046521041,-191151.4589078636,-37071.444444644876,2exp,10.997236694726999,1.2066327784402135,3.55156650503717,9.113988026202035,239.87873531676973,93.47667334787332,333.35540866464305,0.7195885504833334
