Step,Type,V_initial,V_initial_iR,V_final,V_final_iR,dV,dV_iR,duration,charge,A_1exp (mA),A_1exp_err,tau_1exp (ms),tau_1exp_err (ms),B_1exp (mA·s^0.5),B_1exp_err,C_1exp (mA),C_1exp_err,R2_1exp,BIC_1exp,|A|_1exp,|B|_1exp,|B|/dV_1exp,Q_exp_1exp (mC),A1_2exp (mA),A1_2exp_err,tau1_2exp (ms),tau1_2exp_err (ms),A2_2exp (mA),A2_2exp_err,tau2_2exp (ms),tau2_2exp_err (ms),C_2exp (mA),C_2exp_err,R2_2exp,BIC_2exp,delta_BIC,Best_Model,|A1|_2exp,|A2|_2exp,tau2/tau1,|A1|/|A2|,Q_fast (mC),Q_slow (mC),Q_total_2exp (mC),Q_fast/Q_total
2,FALLING,1.3215385197041183,1.321130626,1.311196433155,1.311196433155,0.01034208654911839,0.009934192845000078,3.999799898956539,0.017400000000000002,0.7633632923633388,0.0010417332519078524,19.65981166678282,0.02813701312336552,0.002327166167849012,4.6344848286353225e-05,0.021502585141315558,4.738774247270286e-05,0.9917099443645775,-227546.981573215,0.7633632923633388,0.002327166167849012,0.22501901882143802,15.007578561198512,0.7367070817036664,0.005940293578346516,17.25685223280269,0.11825774142512666,0.08455060413765288,0.006410354149242498,48.090144644640134,1.6400615199928839,0.02336266778257841,2.4640919469584175e-05,0.991735536239374,-227588.98730065968,-42.00572744468809,2exp,0.7367070817036664,0.08455060413765288,2.786727497916913,8.71320896186937,12.71324524781947,4.066050782771435,16.779296030590906,0.7576745308409554
4,FALLING,1.3415101649680001,1.3411239,1.3111993631356567,1.3111993631356567,0.03031080183234347,0.029924536864343265,3.9995998989616055,0.053099999999999994,2.2350769874889322,0.001149771721823368,20.059332368512674,0.010773480130251019,0.0062540616487413575,5.1751255870810894e-05,0.019301732919984133,5.282491933896421e-05,0.9988103785204948,-223275.98815535684,2.2350769874889322,0.0062540616487413575,0.20633111863335443,44.834152161254536,2.245207807303213,0.00306389639208078,18.37342878851498,0.030284664120480472,0.13661891946607327,0.0034155634073836727,64.65285905143666,0.8915315502562388,0.024175482428765882,2.6390202290009294e-05,0.9989216022628428,-225218.47483585367,-1942.4866804968333,2exp,2.245207807303213,0.13661891946607327,3.5188238295429337,16.43409138410561,41.252165762903445,8.832803743999612,50.08496950690306,0.8236436234071738
6,FALLING,1.361539115044,1.3610708,1.3112023275403768,1.3112023275403768,0.05033678750362314,0.049868472459623225,3.9995998989616055,0.09029999999999999,3.7637900930317514,0.0013292359405387955,20.318168745941733,0.007470142168723336,0.010703721829990322,6.0272125738803065e-05,0.01598548132922724,6.145451105507425e-05,0.9994421115642859,-217277.96902665813,3.7637900930317514,0.010703721829990322,0.2126421323414787,76.47332223452285,3.7736908842424963,0.0038650811367693105,18.600197973858503,0.02196905533947849,0.23820452693108285,0.00429171361762955,63.393981208939024,0.6142125897257033,0.024367838412195263,3.073025128562814e-05,0.9994914318746242,-219108.52644677818,-1830.5574201200507,2exp,3.7736908842424963,0.23820452693108285,3.4082422831216945,15.842229922583703,70.19139753905559,15.100733304153275,85.29213084320887,0.8229527958222463
8,FALLING,1.38152703286,1.38087964,1.3112012607705386,1.3112012607705386,0.07032577208946145,0.06967837922946152,3.9995998989616908,0.129,5.309481428042969,0.0012939486588109605,21.290206449167798,0.005344257300294451,0.011774782965799743,6.0253851414965915e-05,0.015236014757349153,6.118902262675615e-05,0.9997324387908905,-217637.42218254769,5.309481428042969,0.011774782965799743,0.16743197573175644,113.03995574105707,5.436094982608406,0.001265355698777376,20.496808199605088,0.00903444545054875,0.11490778211164589,0.0012892504263558426,114.84009256006564,0.9779830038661484,0.023977577306178704,2.9288293490602516e-05,0.9997875395275094,-222227.38877622347,-4589.966593675781,2exp,5.436094982608406,0.11490778211164589,5.602828081412123,47.30832744928125,111.42259621336005,13.19602033357327,124.61861654693332,0.8941087559850783
10,FALLING,1.4015178895,1.4002212,1.3111909663983197,1.3111909663983197,0.09032692310168033,0.08903023360168039,3.9995998989616055,0.1708,6.914991261158312,0.001791271564522258,22.2362746795165,0.005873514282774892,0.011992724666067892,8.546773138652933e-05,0.01480606215526733,8.647083321452364e-05,0.99969713801154,-203979.5644728343,6.914991261158312,0.011992724666067892,0.1327702112975527,153.76364508957246,7.062782029940305,0.001185279963025735,21.68694089637785,0.00726958719140778,0.08963082143102076,0.0009416936217997056,164.6568617924646,1.5495022545939356,0.023113485042299015,3.729449967638938e-05,0.9998147019269328,-213781.566271916,-9802.001799081714,2exp,7.062782029940305,0.08963082143102076,7.59244296275855,78.79858643687396,153.17013644731495,14.75832977671266,167.9284662240276,0.9121153780025355
12,FALLING,1.421524859128,1.418227,1.311200045921296,1.311200045921296,0.11032481320670406,0.10702695407870388,3.9995998989616055,0.2155,8.433962350413413,0.001756698839571065,23.070453057571694,0.004857744335058267,0.015092819450975774,8.553953810731681e-05,0.012869486160500945,8.627120551127097e-05,0.999807038503205,-204212.32839495904,8.433962350413413,0.015092819450975774,0.13680348973442572,194.57533249453968,8.616811714351112,0.0012574587889328743,22.52953651079562,0.006576127014753803,0.10689018149313052,0.0010476750206166487,163.3742832650295,1.4042598327431748,0.023522951217639226,3.945859260105858e-05,0.9998662228321674,-211515.52911142024,-7303.2007164612005,2exp,8.616811714351112,0.10689018149313052,7.251559888360084,80.61368774928019,194.13277412512477,17.46310678950912,211.59588091463388,0.9174695333669826
14,FALLING,1.4415274611559998,1.4339553999999999,1.3111938387224362,1.3111938387224362,0.1303336224335636,0.12276156127756366,3.9995998989616055,0.2611,9.728501039029137,0.0030232358739525635,24.47622589954316,0.00758202448434624,0.012255381910925005,0.00015201604861269318,0.016454849677305955,0.00015254599717365381,0.999572104819266,-181642.4173437949,9.728501039029137,0.012255381910925005,0.09403085467966699,238.1169890952175,9.88329144697601,0.0019193592741950833,24.05652276054299,0.009000261070497666,0.08005697003584268,0.0011790100349638448,234.5072869124869,3.501972058816582,0.023956467535300525,7.271781913472816e-05,0.9997033106084433,-188943.16531416384,-7300.747970368946,2exp,9.88329144697601,0.08005697003584268,9.748178872181848,123.45322890125763,237.75762564325825,18.773942841539725,256.53156848479796,0.9268162474021117
16,FALLING,1.461532703696,1.4469462,1.3111999831416572,1.3111999831416572,0.15033272055434277,0.13574621685834276,3.999599898961577,0.29900000000000004,10.748979800550304,0.0022822993288473606,25.13119492038793,0.005285540209684725,0.020381600941399278,0.00011639343304770885,0.009568501220881674,0.00011653805646009662,0.9998061715871172,-192502.19502920692,10.748979800550304,0.020381600941399278,0.13557661210575692,270.13470656294226,10.986698122087263,0.0015439579458156093,24.50245222680706,0.006880948760474531,0.1428805471289186,0.0013193107864422765,173.74885804775516,1.3967242929621666,0.023724892658910035,5.045727550764984e-05,0.9998795365646166,-201990.64894964718,-9488.453920440254,2exp,10.986698122087263,0.1428805471289186,7.091080371852095,76.89428927070219,269.201045866794,24.825331900888067,294.02637776768205,0.9155676708689613
18,FALLING,1.4815245995119999,1.4576832,1.3111919044082205,1.3111919044082205,0.17033269510377935,0.14649129559177942,3.9995998989616055,0.3332,11.390404693612581,0.0036745887671113518,26.758033122202306,0.008422587563918772,0.016285996278159784,0.00019370321527634247,0.013479144076223025,0.00019292116879915454,0.9995561816688692,-172565.7319604016,11.390404693612581,0.016285996278159784,0.09561286086759294,304.78482606697406,11.581954411536673,0.0023435610759689513,26.197395527356626,0.010508197183447154,0.11456929032896904,0.0016936620135670002,220.86446654817047,3.113438904365361,0.023579685200882942,8.906524362971135e-05,0.9997022802787153,-180527.58858540532,-7961.856625003711,2exp,11.581954411536673,0.11456929032896904,8.430779552781603,101.09126431944178,303.4170406988392,25.30428519131021,328.7213258901494,0.9230220761528375
20,FALLING,1.5015409365880001,1.4665439999999998,1.3111842468318415,1.3111842468318415,0.1903566897561586,0.1553597531681583,3.9995998989616055,0.3607,12.002903309827596,0.002934058785693759,27.227504805834098,0.006466834954087752,0.02423681480367062,0.00015607457704979737,0.006895407636845048,0.00015521794234703298,0.9997513751300263,-181317.95760736256,12.002903309827596,0.02423681480367062,0.1273231575665519,326.80910755229286,12.250163234646054,0.001738898509525171,26.313920043778438,0.007239309181063451,0.2123685302615,0.0016876844560587032,159.87695483772993,1.020312794470531,0.0234612098688233,5.1669832535543566e-05,0.9999060006529613,-200742.54518292332,-19424.587575560756,2exp,12.250163234646054,0.2123685302615,6.075755895425039,57.683514688178214,322.3498158797105,33.95283392157292,356.3026498012834,0.9047078826371091
