Step,Type,V_initial,V_initial_iR,V_final,V_final_iR,dV,dV_iR,duration,charge,A_1exp (mA),A_1exp_err,tau_1exp (ms),tau_1exp_err (ms),B_1exp (mA·s^0.5),B_1exp_err,C_1exp (mA),C_1exp_err,R2_1exp,BIC_1exp,|A|_1exp,|B|_1exp,|B|/dV_1exp,Q_exp_1exp (mC),A1_2exp (mA),A1_2exp_err,tau1_2exp (ms),tau1_2exp_err (ms),A2_2exp (mA),A2_2exp_err,tau2_2exp (ms),tau2_2exp_err (ms),C_2exp (mA),C_2exp_err,R2_2exp,BIC_2exp,delta_BIC,Best_Model,|A1|_2exp,|A2|_2exp,tau2/tau1,|A1|/|A2|,Q_fast (mC),Q_slow (mC),Q_total_2exp (mC),Q_fast/Q_total
2,FALLING,1.3215454047021191,1.32128362,1.3112140746414997,1.3112140746414997,0.01033133006061937,0.010069545358500243,3.999799898956539,0.0177,0.5545004848115156,0.0008114473643921745,30.13304166044391,0.04181299553202526,0.0016514828344824108,4.5462853098351136e-05,0.03517178451758505,4.483319798998954e-05,0.9917156692383357,-231299.74434371426,0.5545004848115156,0.0016514828344824108,0.1598519091726127,16.708786209561747,0.5224553463210172,0.006517523909168925,26.45203169803034,0.2242633548662459,0.06739675103123087,0.006850522939495947,65.42137645553521,2.670975803055854,0.03642426804508947,2.255868252935652e-05,0.9918858744991486,-231694.96086615784,-395.2165224435739,2exp,0.5224553463210172,0.06739675103123087,2.473208001652538,7.751936678355867,13.820005381688965,4.409188221094135,18.2291936027831,0.758124889275356
4,FALLING,1.341518965748,1.34128199,1.3112004713505676,1.3112004713505676,0.030318494397432394,0.030081518649432315,3.9995998989616055,0.0553,1.6319483710335694,0.0012160686097859982,29.40888398272795,0.02090121335781701,0.008316023102907697,6.729947618811495e-05,0.029757592898726697,6.650207206984787e-05,0.9979515946992631,-215452.04194846726,1.6319483710335694,0.008316023102907697,0.2742887886811412,47.99378030952811,0.4976625569639927,0.0024908115995616836,5.552890838040587,0.05479417821143947,1.5253969315157638,0.002120027989329468,33.43838088342459,0.035261340052860725,0.036597505092857495,2.5720520935484634e-05,0.9987501185120449,-225308.04678119102,-9856.00483272376,2exp,0.4976625569639927,1.5253969315157638,6.021796908801431,0.32625118530261693,2.7634658530012066,51.006803594431254,53.77026944743246,0.05139393723334155
6,FALLING,1.3615232969879998,1.36124939,1.3111856972873643,1.3111856972873643,0.05033759970063545,0.050063692712635666,3.9995998989616055,0.0945,2.7910525009246645,0.0011122026707364961,31.519317955852056,0.011782454212398421,0.006600191481409916,6.373392074537158e-05,0.031066175397532394,6.262092330173027e-05,0.9993796894826877,-218059.01363816805,2.7910525009246645,0.006600191481409916,0.13111851817850181,87.97207120812057,2.7692011527538014,0.0041162239695035725,29.31402741655876,0.040543168739565996,0.1523103156801105,0.0044440853064213635,88.2060824180186,1.2558232476595939,0.03592754050775988,2.9207722515385926e-05,0.9994893859816808,-221929.58066734855,-3870.5670291805,2exp,2.7692011527538014,0.1523103156801105,3.0090059330501,18.181310572356843,81.17643851379106,13.434696257994258,94.61113477178532,0.8580008971417525
8,FALLING,1.3815084214,1.38122657,1.311196306823841,1.311196306823841,0.07031211457615894,0.0700302631761589,3.9995998989616908,0.14,3.9863101583309395,0.0013430707150838812,32.76035079573835,0.010260016873418982,0.007772652759591698,7.84500438249251e-05,0.030461837985829108,7.683820892787252e-05,0.9995572811156271,-209983.48252403282,3.9863101583309395,0.007772652759591698,0.11054500076473606,130.59291916753685,4.043416935226843,0.001718571027180444,31.573855435137965,0.02141593817294966,0.0829212374872459,0.001877816439673604,144.77260384740467,2.226068312122437,0.03586717575572089,3.6955579199127774e-05,0.9996364506849645,-213902.3040908104,-3918.8215667775657,2exp,4.043416935226843,0.0829212374872459,4.585205127856825,48.76213932346053,127.66626177684095,12.004723465277614,139.67098524211858,0.9140499836493061
10,FALLING,1.401521644788,1.4011467,1.3112034290879544,1.3112034290879544,0.0903182157000455,0.08994327091204557,3.9995998989616055,0.1902,5.194174037237293,0.0015194701700644907,34.87551185445902,0.009345913850197889,0.005614259079055308,9.150967683529862e-05,0.03239518180356431,8.917922281477765e-05,0.9996655406453908,-204185.07159427114,5.194174037237293,0.005614259079055308,0.06216087237264232,181.1494782097925,5.2591938831278275,0.000969329027238939,34.49150496205421,0.012131134380745564,0.02607370164555151,0.0005482836019154914,374.232383149149,8.761888182053855,0.035433665506544025,5.150766049654954e-05,0.9997133490948954,-207248.88215569823,-3063.81056142709,2exp,5.2591938831278275,0.02607370164555151,10.849987078292477,201.70491917955616,181.3975119163086,9.757623504334628,191.1551354206432,0.9489544265558828
12,FALLING,1.421528224164,1.4208858999999998,1.3111943433011648,1.3111943433011648,0.11033388086283513,0.10969155669883501,3.9995998989616055,0.24819999999999998,6.542436440276711,0.0022543949112801545,36.78680549782084,0.011471120439461798,5.29894309888121e-18,0.00013930441852041522,0.03790974257394365,0.00013518279854674275,0.9995311488551101,-187673.34891153613,6.542436440276711,5.29894309888121e-18,4.8026436280880486e-17,240.67533681031475,0.623366443556964,32242.705838571743,36.78662558301965,18065.94227986726,5.919063519122458,32242.705949966217,36.78686654889994,1902.6090921162163,0.03790973771923415,6.652473419364433e-05,0.9995311488546351,-187653.5428163787,19.80609515742981,1exp,0.623366443556964,5.919063519122458,1.0000065503665114,0.10531504545323453,22.931547960148585,217.7437997724199,240.67534773256847,0.09528000344110632
14,FALLING,1.441524599996,1.4400871999999998,1.31119540719986,1.31119540719986,0.13032919279614008,0.12889179280013985,3.9995998989616055,0.3094,7.82070211159652,0.003128658019006659,37.26386780337137,0.013451198007393928,0.01362636153213478,0.0001945209402831538,0.026841338715850812,0.00018857418423204702,0.9994001430212174,-174391.7931987825,7.82070211159652,0.01362636153213478,0.10455341002110732,291.42960961608003,7.984045729283595,0.0022132435752822152,37.08211415369388,0.018777005394326158,0.025602072828894738,0.0010077943586051358,500.3087966517471,25.13419466961702,0.035916612746262275,0.00014113491238034286,0.9993142830640132,-171697.71799261647,2694.075206166046,1exp,7.984045729283595,0.025602072828894738,13.491916738568953,311.85153571912065,296.0652951416063,12.808942248814718,308.87423739042106,0.9585302343211485
16,FALLING,1.461520712552,1.4581638,1.3111920288509424,1.3111920288509424,0.15032868370105756,0.14697177114905746,3.999599898961577,0.37,8.962733799721065,0.00438140384638156,39.455609209641885,0.01718454123123166,0.012265264205572357,0.0002798864703951982,0.02759825553010351,0.0002701231230813611,0.9991131856449431,-160132.85346160686,8.962733799721065,0.012265264205572357,0.08158964678998297,353.63012225184303,1.291952638479076,66796.21077045522,39.577639932228536,1507.7147411765088,7.818663250052141,66796.2115698875,39.5809104919046,246.55850335642606,0.03794173915570517,0.00013900527945721056,0.9990279642310838,-158278.7344393605,1854.1190222463629,1exp,1.291952638479076,7.818663250052141,1.0000826365513877,0.16523958087982116,51.1324363352175,309.4698102666577,360.6022466018752,0.14179733159474886
18,FALLING,1.481536111228,1.4744473999999999,1.311198037378369,1.311198037378369,0.17033807384963118,0.16324936262163092,3.9995998989616055,0.4229,10.03044373255838,0.004124107464379992,41.680472551644904,0.015089742250357653,1.1948361415419227e-21,0.0002702983771822638,0.03648028443709389,0.0002597738111918683,0.9993618870779213,-161784.9605150977,10.03044373255838,1.1948361415419227e-21,7.014498371025873e-21,418.0736346757182,8.84049604574172,44182.28768107808,41.6803274791053,672.3238759778017,1.1899519003768293,44182.28816536079,41.681379510966224,4991.868993227508,0.0364802916887073,0.0001276114467222146,0.999361887077406,-161765.15442405385,19.806091043836204,1exp,8.84049604574172,1.1899519003768293,1.000025240489328,7.42928856447235,368.47477026425037,49.5988367594021,418.07360702365247,0.8813633869104871
20,FALLING,1.501542275284,1.4886446,1.311199685518776,1.311199685518776,0.190342589765224,0.17744491448122401,3.9995998989616055,0.47059999999999996,10.594994920459063,0.0053705659022639535,44.05452030436909,0.019438890077913672,2.8237658344243545e-18,0.00036112201677506985,0.03652194064832719,0.00034561507118572465,0.9990486230952638,-150444.4047273104,10.594994920459063,2.8237658344243545e-18,1.4835176078602787e-17,466.7574188480512,1.4988416102534345,71632.5986649777,44.05508479402665,469953.7843825074,9.096015831508975,71632.59859993334,44.055097548387046,77438.98939988992,0.03652189736255478,0.00016978387271153743,0.9990486230132277,-150424.59692860956,19.807798700843705,1exp,1.4988416102534345,9.096015831508975,1.0000002895093825,0.16478001336160666,66.03159423253051,400.7258647588008,466.7574589913313,0.14146874990541256
