Step,Type,V_initial,V_initial_iR,V_final,V_final_iR,dV,dV_iR,duration,charge,A_1exp (mA),A_1exp_err,tau_1exp (ms),tau_1exp_err (ms),B_1exp (mA·s^0.5),B_1exp_err,C_1exp (mA),C_1exp_err,R2_1exp,BIC_1exp,|A|_1exp,|B|_1exp,|B|/dV_1exp,Q_exp_1exp (mC),A1_2exp (mA),A1_2exp_err,tau1_2exp (ms),tau1_2exp_err (ms),A2_2exp (mA),A2_2exp_err,tau2_2exp (ms),tau2_2exp_err (ms),C_2exp (mA),C_2exp_err,R2_2exp,BIC_2exp,delta_BIC,Best_Model,|A1|_2exp,|A2|_2exp,tau2/tau1,|A1|/|A2|,Q_fast (mC),Q_slow (mC),Q_total_2exp (mC),Q_fast/Q_total
22,FALLING,1.5204602985605757,1.514251,1.310563156595,1.310563156595,0.20989714196557574,0.203687843405,3.9997998989564962,0.4612,10.695779551337411,0.00445926642673857,40.55975448793717,0.014976485818421443,0.015567803578119838,0.0002885718699618808,-0.0457122596358405,0.00027790862379164756,0.999362195188477,-159050.72603440672,10.695779551337411,0.015567803578119838,0.0741687258451239,433.8181926593441,0.007448822154463198,42731.64708270768,40.685830579101264,315999.4258813644,10.874382902208394,42731.646770301646,40.688760459578425,217.22614071218538,-0.03260971177879677,0.00014616337146381372,0.9992693171418688,-156313.06302680698,2737.663007599738,1exp,0.007448822154463198,10.874382902208394,1.0000720123058928,0.0006849880330175311,0.30306151619034577,442.4651610536926,442.76822256988294,0.000684469889079524
24,FALLING,1.5404616991563376,1.529865,1.310564810579,1.310564810579,0.2298968885773376,0.21930018942100005,3.9997998989564962,0.49350000000000005,11.350611943144674,0.004545992426395405,40.61719413137274,0.014402935464569307,0.020575962978673694,0.00029437893471490685,-0.04969843707135994,0.00028347033253443,0.9994170687139493,-158260.7591818447,11.350611943144674,0.020575962978673694,0.0895008327689999,461.03000880458524,11.59274013194646,0.0031645228201040297,40.48811645317005,0.01961609354578427,0.02858676948956286,0.001230220707770638,648.6938253089579,41.38339956897002,-0.0361270592927486,0.00025275402551274475,0.9993170865240648,-155076.24234862605,3184.5168332186586,1exp,11.59274013194646,0.02858676948956286,16.02183262981027,405.52816351560864,469.3682124735862,18.54406085340994,487.9122733269961,0.9619930428743657
26,FALLING,1.5605248731267491,1.544,1.31056837562,1.31056837562,0.2499564975067492,0.2334316243800001,3.99979989895661,0.5204,11.75581195833563,0.005344277775039909,41.22561365118837,0.016540777308434177,0.02263454078693886,0.000348483036431254,-0.050967124972943735,0.00033518799009718775,0.999254881734214,-151583.82537309092,11.75581195833563,0.02263454078693886,0.09055392043300532,484.6405619503649,2.4647799548118488,0.037008182852651623,2.305631581363146,0.032726063829220824,11.753118218684525,0.0039913557991981315,42.271220676063436,0.01602108377831214,-0.03254849482478023,0.000127106647083477,0.9995478579221497,-161550.9526229244,-9967.127249833487,2exp,2.4647799548118488,11.753118218684525,18.333900792194928,0.20971285312977314,5.682874504925027,496.81865385387516,502.5015283588002,0.011309168597925726
28,FALLING,1.5805401201079567,1.55669,1.3105646874024999,1.3105646874024999,0.2699754327054569,0.24612531259750003,3.9997998989564962,0.5393,12.150025209528932,0.006070229895347354,41.01525679908181,0.018105013789056136,0.03050909171652553,0.00039487683601307735,-0.05736664393686309,0.0003799602802250542,0.9991120810984021,-146562.7834173918,12.150025209528932,0.03050909171652553,0.11300691848436054,498.336404084147,2.666368537609426,0.02650982105349003,2.892970230779085,0.03206176949623002,12.102484975711606,0.004518688366743887,42.50269732350451,0.016852097242719445,-0.03261457143401511,0.00013011873727946657,0.9995611464452084,-160631.63237618783,-14068.848958796036,2exp,2.666368537609426,12.102484975711606,14.691716102470371,0.22031578993574813,7.713724803590034,514.3882557849313,522.1019805885213,0.014774364186274501
30,FALLING,1.6005935341943223,1.568445,1.3105790647025002,1.3105790647025002,0.2900144694918221,0.2578659352974999,3.9997998989564962,0.5533,12.574404280470576,0.0043627738094170095,41.62039942761821,0.012719112277132407,0.01694290529791776,0.00028574755747358735,-0.04626863216320495,0.0002746463601482584,0.9995607681521871,-159563.54113243276,12.574404280470576,0.01694290529791776,0.0584208964732207,523.3517287175375,1.4634825121945794,50014.193072404145,41.73177989679833,846.638136520895,11.31168446043621,50014.19286890804,41.73759184952877,109.78467070869219,-0.03203533898483441,0.0001463159063646565,0.9994835097334698,-156304.45033927407,3259.0907931586844,1exp,1.4634825121945794,11.31168446043621,1.0001392692270692,0.12937794696389043,61.07373008171766,472.12246914034364,533.1961992220613,0.11454269586096986
32,FALLING,1.630483357337065,1.58357,1.3105804346215,1.3105804346215,0.319902922715565,0.27298956537849994,3.9997998989565815,0.5712999999999999,12.81774764192641,0.006389016150787761,41.36162392454075,0.018183123616064934,0.032639267919751865,0.0004172468726975509,-0.05922148975451482,0.0004012275618514872,0.99911933843276,-144398.3186699747,12.81774764192641,0.032639267919751865,0.10202866432943593,530.1628575250292,3.4400296406441493,0.032857953879101925,2.431581230230085,0.02276692489673458,12.795867459847384,0.003908906455606405,42.80324132034311,0.014478047660690236,-0.032722972512175076,0.00012323198444014958,0.9996495903110635,-162802.54785639085,-18404.229186416167,2exp,3.4400296406441493,12.795867459847384,17.603048085830515,0.2688391116459078,8.364711505625458,547.7046027869734,556.0693142925988,0.015042569857080837
34,FALLING,1.660645037764894,1.59691,1.3105807540049998,1.3105807540049998,0.3500642837598942,0.2863292459950002,3.9997998989565815,0.5869,13.07954784411143,0.008057835921185988,40.68776092415065,0.02218500044084827,0.04961176559214081,0.0005222144722533314,-0.0733621186002083,0.0005027961989949392,0.9986903713378256,-135349.66234500502,13.07954784411143,0.04961176559214081,0.14172187193529592,532.177515677196,3.737755952809815,0.021010973359326876,3.4691770356050498,0.024775742009748924,12.936997356131565,0.005055378294550799,43.11057241803606,0.017116602268795616,-0.0332328470019362,0.00013357585448925735,0.9996111838466352,-159607.98690329216,-24258.32455828713,2exp,3.737755952809815,12.936997356131565,12.426743281066733,0.2889198977101347,12.966937116183882,557.7213613934508,570.6882985096347,0.022721575245273698
36,FALLING,1.6905386297920832,1.6095699999999997,1.3105745099885002,1.3105745099885002,0.379964119803583,0.2989954900114995,3.9997998989564962,0.5989,13.299838715081815,0.007250336401077066,41.14962643463797,0.019806169908169146,0.04376960822051964,0.0004723645004816496,-0.06836589387641623,0.00045440723759908243,0.9989647694265679,-139413.7199727636,13.299838715081815,0.04376960822051964,0.11519405633128124,547.2833947665522,4.039926202545974,0.02863858851283923,2.6406841453750247,0.019465037112735218,13.275557237025554,0.004013782666513833,42.992030461987625,0.01415106035441473,-0.03281134005848035,0.00012244042469648076,0.999683230492009,-163068.54119484028,-23654.821222076687,2exp,4.039926202545974,13.275557237025554,16.280640960898403,0.3043131169875576,10.668169071548284,570.7431611340629,581.4113302056112,0.018348746433571525
38,FALLING,1.7207787466733309,1.62121,1.3105744276565,1.3105744276565,0.41020431901683096,0.31063557234350014,3.9997998989565247,0.6088,13.588513441805675,0.008134794661168638,40.332001881276526,0.021409882250756036,0.054427178322210085,0.0005250401264634599,-0.076785126969857,0.0005058576548121935,0.998766574646818,-135092.45701003392,13.588513441805675,0.054427178322210085,0.13268309425083577,548.0519496986578,3.466611503113274,0.015675149437056363,4.383316858011979,0.03004084107230279,13.329430463577914,0.0059596806670247,43.12640198510332,0.018192948075900234,-0.03288203818294352,0.00013435409893746556,0.9996346209566477,-159395.22047788338,-24302.763467849465,2exp,3.466611503113274,13.329430463577914,9.838759866578066,0.2600719897662273,15.195256641774657,574.8503764047432,590.0456330465179,0.02575268045510083
40,FALLING,1.750677286605358,1.63217,1.310573689192,1.310573689192,0.440103597413358,0.321596310808,3.99979989895661,0.6165999999999999,13.590112950687624,0.008989133514070043,40.75599307693458,0.023850653721027276,0.05748446393030469,0.0005830266487022657,-0.07929902680790103,0.0005612750330617156,0.9985078744617479,-130953.09642105199,13.590112950687624,0.05748446393030469,0.1306157556269953,553.8785493329838,4.802757003437986,0.023715873555498708,3.024246118886121,0.01711524020073683,13.489246146360445,0.004328626984094496,43.30565773005886,0.014673962237375916,-0.032723229687477096,0.00012433683120437934,0.9996918582700883,-162468.61264870275,-31515.51622765076,2exp,4.802757003437986,13.489246146360445,14.319488569273272,0.35604339570405313,14.524719227600464,584.160676650801,598.6853958784014,0.02426102144397484
42,FALLING,1.780536651139544,1.6424500000000002,1.310573347317,1.310573347317,0.4699633038225439,0.33187665268300015,3.99979989895661,0.6228,13.856807941316651,0.009328062480574252,40.08674573550608,0.023960228755186212,0.0633868969680986,0.0006003379882234195,-0.08355528611479873,0.0005786759645348108,0.9984602908043693,-129704.81930290516,13.856807941316651,0.0633868969680986,0.13487626896084895,555.474336649302,4.085655372502594,0.01569990362305201,4.419234956944368,0.025842466605213534,13.53129315630748,0.00602352456155594,43.34761119284301,0.018190677533282736,-0.03247244413592761,0.00013588753154563873,0.9996437362278107,-158946.85278748057,-29242.03348457541,2exp,4.085655372502594,13.53129315630748,9.808849634647,0.3019412354242067,18.055471044191027,586.5492346759942,604.6047057201852,0.029863265822061284
44,FALLING,1.8107367603758493,1.65205,1.31058334378,1.31058334378,0.5001534165958492,0.34146665621999994,3.999799898956553,0.6263,13.973265060238182,0.0075142736768641066,40.70005663230525,0.019369836612092524,0.05293182347219687,0.0004870559225115425,-0.07604853846566874,0.00046893414140778794,0.9990017826379107,-138137.94134612524,13.973265060238182,0.05293182347219687,0.10583117442736299,568.7126792899062,3.5355274542677964,0.017682661362290512,3.7476020232000042,0.025243864032545242,13.83669118851533,0.004957343911766709,43.068941011480646,0.015317920087385688,-0.0331949019393998,0.00012460019565164055,0.9997036084467409,-162394.21395478508,-24256.27260865984,2exp,3.5355274542677964,13.83669118851533,11.492399871933285,0.25551827428239055,13.249749840693154,595.9316365922408,609.181386432934,0.02175008976928392
46,FALLING,1.8406367154738106,1.66148,1.3105786151920003,1.3105786151920003,0.5300581002818103,0.3509013848079998,3.99979989895661,0.632,14.018696007409233,0.008077683856401112,40.76629572570952,0.020781219044443175,0.055909099900695945,0.0005239727696747102,-0.07822976133148948,0.0005044145745346631,0.9988604426719775,-135224.29796598884,14.018696007409233,0.055909099900695945,0.10547730498028679,571.4903071268681,4.253420023834235,0.021033300940575414,3.1920949204456908,0.018847392845598217,13.933681373826378,0.004292238957136852,43.12765319772611,0.013815280234515654,-0.03289274388623157,0.00011913596091054294,0.9997324794088284,-164176.8705522862,-28952.57258629735,2exp,4.253420023834235,13.933681373826378,13.510767778705178,0.3052617545729186,13.577320452603253,600.9269780579999,614.5042985106031,0.02209475260874677
48,FALLING,1.8705402823670532,1.67023,1.3105737560535002,1.3105737560535002,0.5599665263135529,0.35965624394649987,3.99979989895661,0.6375,14.15136800058174,0.010491192967538915,39.77944911724983,0.02622840282409533,0.07381509254580133,0.00067276049505942,-0.09259320682286082,0.0006488700697300065,0.9981589491640397,-125113.79821680857,14.15136800058174,0.07381509254580133,0.1318205447596141,562.9336233186189,4.725920395910419,0.015610056702141792,4.451149678831907,0.022459771313963706,13.76780681549335,0.006042742991025542,43.51228165132058,0.017984529712849986,-0.03310583804653589,0.00013627128782655026,0.9996595715180935,-158838.22352821866,-33724.42531141009,2exp,4.725920395910419,13.76780681549335,9.775515269290898,0.34325876729997334,21.035779052441818,599.0686878767177,620.1044669291596,0.033922960040287754
50,FALLING,1.9006851413834465,1.6786399999999997,1.3105717505245,1.3105717505245,0.5901133908589464,0.36806824947549965,3.9997998989564962,0.6426,14.252942029833678,0.00981287614493911,39.93057055576887,0.024430166853679807,0.07058739179808564,0.0006303841123644152,-0.0898730114557538,0.000607820712200472,0.9984030075917864,-127733.42558679011,14.252942029833678,0.07058739179808564,0.11961665824146328,569.1281073495572,4.383176336236121,0.01500728958922621,4.571031751477184,0.024400200555474295,13.887419746347632,0.006125415859826139,43.46293179861844,0.017875709850461812,-0.03298005661216422,0.00013512294043041212,0.9996690308754808,-159178.07464933317,-31444.64906254306,2exp,4.383176336236121,13.887419746347632,9.508341696504923,0.31562208216460724,20.035638205258746,603.5879772942941,623.6236154995528,0.032127773399359204
52,FALLING,1.9305926528588566,1.6870500000000002,1.3105808056589998,1.3105808056589998,0.6200118471998568,0.37646919434100035,3.9997998989564962,0.6466999999999999,14.14783356476683,0.011290776422962754,40.241299136606884,0.02849092971998046,0.07666945403276822,0.0007279669085220603,-0.09515854581515117,0.000701491876594829,0.9978850988465876,-122015.75021819407,14.14783356476683,0.07666945403276822,0.12365804682447352,569.3272026147093,6.094137678550286,0.02186533162525191,3.200688491324654,0.013697243544475407,13.981619083603336,0.00443291196885762,43.58765677298779,0.014407454367140818,-0.03308012154081813,0.00012436304076126318,0.9997207071911619,-162469.8005998587,-40454.05038166462,2exp,6.094137678550286,13.981619083603336,13.61821273489454,0.435867809165039,19.505436332283843,609.4260137467583,628.9314500790421,0.031013612580246167
54,FALLING,1.9608109990004,1.69495,1.310575576064567,1.310575576064567,0.6502354229358329,0.384374423935433,7.999799797908111,0.6482,14.193166476636117,0.011474087431311158,40.31717718649755,0.028903930247557125,0.07769867152990681,0.0007404349293011889,-0.0965303636764544,0.0007133895294827285,0.9978339360009727,-121351.20548147187,14.193166476636117,0.07769867152990681,0.1194931386221546,572.2284076759955,6.190987856222538,0.021660396333935756,3.205900647929423,0.013383399442606097,14.02112665255873,0.004391392400960986,43.71295544280446,0.014279595970214887,-0.03364592688156528,0.00012348906710988716,0.9997272840407343,-162761.61681193495,-41410.411330463074,2exp,6.190987856222538,14.02112665255873,13.635155996190056,0.44154710314186757,19.847691979587022,612.9048846212178,632.7525766008048,0.03136722427304894
