Step,Type,V_initial,V_initial_RHE,V_final,V_final_RHE,dV,dV_RHE,A_1exp (mA),A_1exp_err,tau_1exp (ms),tau_1exp_err (ms),B_1exp (mA·s^0.5),B_1exp_err,C_1exp (mA),C_1exp_err,R2_1exp,BIC_1exp,|A|_1exp,|B|_1exp,|B|/dV_1exp,Q_exp_1exp (mC),A1_2exp (mA),A1_2exp_err,tau1_2exp (ms),tau1_2exp_err (ms),A2_2exp (mA),A2_2exp_err,tau2_2exp (ms),tau2_2exp_err (ms),C_2exp (mA),C_2exp_err,R2_2exp,BIC_2exp,delta_BIC,Best_Model,|A1|_2exp,|A2|_2exp,tau2/tau1,|A1|/|A2|,Q_fast (mC),Q_slow (mC),Q_total_2exp (mC),Q_fast/Q_total
22,FALLING,1.520450642127149,1.4402549999999998,1.3105730552865,1.3105730552865,0.20987758684064906,0.1296819447134998,11.116159807057306,0.00645869011320092,26.97109005162139,0.015261004402598208,0.05990135109624311,0.0003418744454979099,-0.06339581198722859,0.00034026116367827494,0.9987301801371395,-149911.44554401812,11.116159807057306,0.05990135109624311,0.2854109006967171,299.8149471843568,10.93692753703206,0.007138275805468166,22.13886165544282,0.016398314413651943,1.538176157316506,0.007882784142524355,75.30021282601973,0.20794893496085412,-0.018690942157164853,6.202112057493862e-05,0.9998406047266896,-191379.9017476887,-41468.45620367059,2exp,10.93692753703206,1.538176157316506,3.4012685023264164,7.110321847734635,242.13112567795577,115.82499200984212,357.95611768779787,0.6764268403680075
24,FALLING,1.5404544539184326,1.4430349999999998,1.3105679089124997,1.3105679089124997,0.22988654500593286,0.1324670910875001,11.175793746715481,0.006757735563064668,28.21923052074914,0.016437202480569436,0.06623583005044054,0.00036617672496523396,-0.06751607620632277,0.0003630735134999557,0.9986653409014185,-147464.7227883524,11.175793746715481,0.06623583005044054,0.28812399633363117,315.3722999909109,10.728063620289756,0.008551986437339051,22.271067685969832,0.018441518768093197,1.957856493478662,0.009369927970515378,71.3216378568981,0.17493748024287448,-0.01780612189931607,6.283402569741844e-05,0.999847204438577,-190774.18503709635,-43309.46224874395,2exp,10.728063620289756,1.957856493478662,3.2024346054064035,5.479494363362887,238.9254310268637,139.63753180366152,378.5629628305252,0.6311378937876331
26,FALLING,1.560484252415034,1.445605,1.3105804078455001,1.3105804078455001,0.24990384456953385,0.1350245921544999,11.195979678864411,0.007056942125412118,29.574929330113246,0.01775560467702755,0.0723424842998663,0.0003916588336081811,-0.07201392178406159,0.0003868306766013232,0.9985922979794114,-145076.6360345863,11.195979678864411,0.0723424842998663,0.28948127798705214,331.120307783799,10.436152198257918,0.009829395949751064,22.3734869948588,0.020534598232150293,2.4149251103120957,0.010703500924104353,68.70258280887573,0.1504878668101494,-0.017535534609666392,6.390411715625391e-05,0.9998516640868065,-190043.51789474094,-44966.88186015465,2exp,10.436152198257918,2.4149251103120957,3.07071413699004,4.321522085175217,233.49311548409062,165.9115923684501,399.4047078525407,0.5846028123691915
28,FALLING,1.5804931782367053,1.447755,1.3105659941715,1.3105659941715,0.26992718406520533,0.1371890058284999,11.234248757369606,0.007300602256577503,30.79037472305176,0.018875467415712967,0.07661461086193337,0.00041349125123209274,-0.07399808996644114,0.0004070416215443711,0.9985364341779375,-143159.48328883364,11.234248757369606,0.07661461086193337,0.2838343649131162,345.90672897138876,10.138745844811908,0.011649602984068804,22.421839491508205,0.023878996999962286,2.8554448626181816,0.012623448015132382,66.66610522522768,0.14151532962762925,-0.016166556373064835,6.86750357149322e-05,0.9998378226607009,-187120.89073612992,-43961.40744729628,2exp,10.138745844811908,2.8554448626181816,2.973266544454395,3.5506712027756,227.32933197756836,190.36138767613951,417.6907196537079,0.5442527719218632
30,FALLING,1.600563140531787,1.44959,1.3105708791115,1.3105708791115,0.289992261420287,0.13901912088849988,11.1631408868754,0.0076603441584440725,32.62397890014701,0.020830572189692465,0.08332439293088577,0.00044652597769813217,-0.07785454197047051,0.0004374912475634688,0.9984235521545373,-140435.26404178984,11.1631408868754,0.08332439293088577,0.2873331602808648,364.1860727527914,9.54849611426933,0.013095387823288195,22.241854080497355,0.027352112696019153,3.542228872507564,0.014146027910479345,64.73370130986834,0.12171191383846845,-0.014808450343209488,7.186276267971562e-05,0.9998327005148673,-185260.39002541133,-44825.12598362149,2exp,9.54849611426933,3.542228872507564,2.910445373644894,2.695618057991237,212.3762572617744,229.3015858040963,441.6778430658707,0.48083973555834714
32,FALLING,1.630448727485006,1.451975,1.310566043548,1.310566043548,0.3198826839370059,0.14140895645200002,11.297128274599094,0.0074141658355778356,33.88009161597127,0.020506416976370675,0.08483011910891636,0.000440265524363957,-0.07789388080048167,0.0004300427522493877,0.9985749750672294,-141219.20505961718,11.297128274599094,0.08483011910891636,0.2651913447294379,382.74774094079675,9.107138917231191,0.01694736036767184,22.193408328881095,0.03485272038948187,4.153187165213913,0.018199731027119692,62.184742163495216,0.12379968025054479,-0.013393772937383681,8.215934507009562e-05,0.9997938384191094,-179849.61970275047,-38630.41464313329,2exp,9.107138917231191,4.153187165213913,2.8019464717626064,2.1928072477711518,202.11845269795586,258.2648730255648,460.38332572352067,0.43902209616370075
34,FALLING,1.660619658044782,1.45415,1.3105659331775,1.3105659331775,0.35005372486728215,0.14358406682250013,11.26295758353229,0.007617091061189879,36.148413010470485,0.02221159946440054,0.08919281709374845,0.0004667409952940578,-0.08057483455912899,0.00045355010907897507,0.9985296914452794,-139243.74015489494,11.26295758353229,0.08919281709374845,0.254797508946847,407.13804244893583,7.809682467115229,0.01856498807444927,20.69550152609345,0.041984805267113734,5.587077527168111,0.019980028712963588,58.242855678753976,0.09489812265898012,-0.012300700046146187,8.786689256312752e-05,0.9997782875006219,-177045.72049524632,-37801.98034035138,2exp,7.809682467115229,5.587077527168111,2.8142761172189905,1.3978117234169967,161.62529541648848,325.40735008086193,487.0326454973504,0.3318572110324127
36,FALLING,1.6905115335665735,1.4551699999999999,1.3105771433724998,1.3105771433724998,0.3799343901940737,0.1445928566275001,11.374741395431835,0.007433233423013432,37.757941087407055,0.022198621670545256,0.09156890483914974,0.00046505886977643606,-0.08173866356746348,0.00045036705998539097,0.9986476168379554,-139617.0460553733,11.374741395431835,0.09156890483914974,0.24101241478134044,429.48681549320554,6.876522287278994,0.019919520679877886,19.39820451529276,0.05006181881393308,6.729667239354346,0.02155356926726391,55.92750290598572,0.08338237111226701,-0.011196198459708286,9.841218349268649e-05,0.9997383390308744,-172435.57859861557,-32818.53254324227,2exp,6.876522287278994,6.729667239354346,2.8831278101998943,1.021822037063862,133.39218568260668,376.3734840853071,509.7656697679138,0.2616735366729139
38,FALLING,1.7207585882447018,1.455875,1.3105657429070001,1.3105657429070001,0.41019284533770173,0.1453092570929999,11.38224034823379,0.007415447797493958,39.65443780339947,0.02299245965024451,0.09661175000529298,0.0004748216790401421,-0.08346257241711166,0.0004580715846196573,0.9986872437501424,-139030.9974589904,11.38224034823379,0.09661175000529298,0.23552763316911315,451.35634195238066,6.049882452943276,0.018939448206023328,17.850117840101333,0.0559334253450191,7.729218350967699,0.020772247826504737,55.2089514722498,0.07346021596553406,-0.008685660599362313,0.00011128386622918518,0.9996838285044818,-167471.79128223745,-28440.793823247048,2exp,6.049882452943276,7.729218350967699,3.0929180393543207,0.7827288838574252,107.9911147037988,426.7220408569983,534.7131555607971,0.2019608337306378
40,FALLING,1.7506520315473812,1.457525,1.3105617102629998,1.3105617102629998,0.4400903212843814,0.14696328973700012,11.448594746045677,0.007163986814616517,41.289789532714025,0.022795762651945828,0.09660187622601075,0.0004674791097107038,-0.08171964552480437,0.0004495908456310408,0.9987996812689133,-139845.08546896846,11.448594746045677,0.09660187622601075,0.21950465973458141,472.71006750956155,5.179600769991657,0.016135370273286865,15.936170651725465,0.05746401154951114,8.748517461597206,0.01799976425874627,53.95143114676616,0.05917053540760742,-0.006543782340330354,0.00011590738420946249,0.9996722356054966,-165775.84229330384,-25930.756824335374,2exp,5.179600769991657,8.748517461597206,3.3854702190280985,0.592054687291671,82.54300177839566,471.9950374656431,554.5380392440388,0.14885002639479972
42,FALLING,1.7805194909236306,1.460225,1.3105641071720002,1.3105641071720002,0.4699553837516304,0.14966089282799988,11.437850459285684,0.007059616992507949,43.577996042950076,0.023465534182457528,0.09617246361368943,0.00047232372316258144,-0.079404809179561,0.00045240091756210474,0.9988467596958522,-139671.8176689455,11.437850459285684,0.09617246361368943,0.20464168927260595,498.43860205460624,4.225723509072114,0.010445480988479248,12.4774669037788,0.04912769368985299,9.90747849394451,0.011844441410681224,53.01345370638621,0.039817767547877664,-0.004005230636092244,0.0001150847717357865,0.999690768668823,-165966.30703576872,-26294.489366823225,2exp,4.225723509072114,9.90747849394451,4.248735269362332,0.4265185649057823,52.72632522896731,525.2296524857442,577.9559777147115,0.0912289642499275
44,FALLING,1.8107107780087965,1.4608249999999998,1.3105658547930001,1.3105658547930001,0.5001449232157964,0.15025914520699968,11.48389132529357,0.006956207778630601,45.1420768053671,0.023686754767873006,0.09758284997347474,0.00047299794433963726,-0.07856439347695866,0.0004518585782516868,0.9989007568652141,-139760.80334073905,11.48389132529357,0.09758284997347474,0.1951091482565562,518.4067042308913,3.929660585551658,0.008759337713054536,10.758146888376132,0.04438386482236013,10.427736431303822,0.009520342522344937,53.3104660665992,0.03368319756308929,-0.0017904340136842374,0.00011757550158615316,0.9996905081468662,-165079.76547406195,-25318.9621333229,2exp,3.929660585551658,10.427736431303822,4.955357704234325,0.37684694194560847,42.27586580082689,555.9074891724626,598.1833549732895,0.07067375822036141
46,FALLING,1.8406175208716513,1.4613200000000002,1.310570443802,1.310570443802,0.5300470770696513,0.15074955619800012,11.555890827274911,0.006994777003574496,46.80654321987293,0.02436932684005021,0.09784638395881473,0.0004835320492951532,-0.0777730849076258,0.0004606944311486398,0.9989107017633125,-139021.3369781925,11.555890827274911,0.09784638395881473,0.18459942180938987,540.8913034509764,3.7762575354469625,0.007593113913307623,9.209610225578897,0.036905475167179805,10.854772070833445,0.007270363939178741,53.95623539908812,0.027467730975977413,-0.0006278644029419098,0.00011282642075729727,0.9997275760239138,-166709.03056817284,-27687.693589980336,2exp,3.7762575354469625,10.854772070833445,5.858688269914978,0.34788915979117524,34.77786001287171,585.6826370573366,620.4604970702082,0.05605169092487192
48,FALLING,1.870495048380648,1.46255,1.3105661096524999,1.3105661096524999,0.5599289387281481,0.15198389034750015,11.61881687806073,0.006755865046756647,48.27779035481191,0.024004141066506307,0.09983832837299908,0.00047360487442738,-0.07712940595214028,0.00045022450245480323,0.9990044479150155,-139964.3329737185,11.61881687806073,0.09983832837299908,0.1783053553184393,560.9308054099662,3.710455568162247,0.007952166425873214,8.018065253224853,0.03388212726322976,11.191617517256176,0.006322367342438222,54.65296198090185,0.0253045865206296,0.001805688969167415,0.00011748117751878008,0.9997168660397523,-165082.0137634051,-25117.680789686594,2exp,3.710455568162247,11.191617517256176,6.816228136696758,0.3315388112970404,29.75067486471639,611.6550466753971,641.4057215401135,0.04638355079415328
50,FALLING,1.900649756457417,1.4641999999999997,1.310570074534,1.310570074534,0.5900796819234169,0.15362992546599963,11.712953696785453,0.006640919567890362,49.12804590456933,0.023741529317859472,0.09677796639453845,0.0004692232742272626,-0.07317855960992793,0.0004455004343217496,0.9990500333836175,-140397.05608670256,11.712953696785453,0.09677796639453845,0.16400830152138457,575.4345268937708,3.6603884696922555,0.007782298293599605,7.048794159074279,0.028066398686595356,11.453880813705354,0.005061630883313208,54.76387445856293,0.021026954953626612,0.0034955259356434713,0.00010736175258408266,0.9997692207202878,-168665.2319643949,-28268.175877692323,2exp,3.6603884696922555,11.453880813705354,7.769254318210235,0.3195762667018806,25.80132486510961,627.2588909451026,653.0602158102122,0.03950833972193433
52,FALLING,1.930544825469812,1.470575,1.3105665153780002,1.3105665153780002,0.6199783100918119,0.1600084846219998,11.6749758402493,0.0064306782351976,51.25676243860969,0.02388197769028105,0.09097018500774322,0.00046308646012056066,-0.0668275534223693,0.00043835419989693306,0.9991022615514998,-141062.7352996566,11.6749758402493,0.09097018500774322,0.14673123805616933,598.4214631201659,3.622275369382622,0.008283175055924805,5.736301529220629,0.021585272166414395,11.633492991524287,0.0036830320857133697,55.92310855306005,0.016810395602689186,0.00535925588335125,9.593186815925904e-05,0.9998199485351368,-173162.79683489396,-32100.061535237357,2exp,3.622275369382622,11.633492991524287,9.748983429164003,0.31136610234103135,20.778463740647755,650.581091416276,671.3595551569238,0.03094982946327619
54,FALLING,1.9607617333066774,1.4769499999999998,1.3105622984392107,1.3105622984392107,0.6501994348674667,0.16638770156078908,11.566821193420122,0.006506058293621483,53.73091171285821,0.02536134189502458,0.08495933182029475,0.0004784328632985791,-0.06066149714027603,0.0004513929693013137,0.9990639262410936,-139904.9413986584,11.566821193420122,0.08495933182029475,0.13066657284562608,621.4958483420738,3.6592606291518286,0.008938228271633444,4.929789728671143,0.01773285912253791,11.630725675668945,0.0029203414019273225,57.802072724749905,0.014658797872370087,0.006682217351973833,8.828734845409491e-05,0.9998501519700973,-176513.76319679973,-36608.82179814132,2exp,3.6592606291518286,11.630725675668945,11.725058452002337,0.3146201476324791,18.03938546412339,672.2800513466323,690.3194368107556,0.02613193907369106
