Step,Type,V_initial,V_initial_RHE,V_final,V_final_RHE,dV,dV_RHE,A_1exp (mA),A_1exp_err,tau_1exp (ms),tau_1exp_err (ms),B_1exp (mA·s^0.5),B_1exp_err,C_1exp (mA),C_1exp_err,R2_1exp,BIC_1exp,|A|_1exp,|B|_1exp,|B|/dV_1exp,Q_exp_1exp (mC),A1_2exp (mA),A1_2exp_err,tau1_2exp (ms),tau1_2exp_err (ms),A2_2exp (mA),A2_2exp_err,tau2_2exp (ms),tau2_2exp_err (ms),C_2exp (mA),C_2exp_err,R2_2exp,BIC_2exp,delta_BIC,Best_Model,|A1|_2exp,|A2|_2exp,tau2/tau1,|A1|/|A2|,Q_fast (mC),Q_slow (mC),Q_total_2exp (mC),Q_fast/Q_total
2,FALLING,1.3215454047021191,1.32128362,1.3112140746414997,1.3112140746414997,0.01033133006061937,0.010069545358500243,0.554500478460946,0.0008114473545894193,30.13304267661188,0.041812996585349885,0.0016514825844839579,4.546285336009195e-05,0.03517178466761734,4.483319811801628e-05,0.9917156692383355,-231299.7443437141,0.554500478460946,0.0016514825844839579,0.15985188497452285,16.708786581665393,0.5225606623892027,0.006504283826943545,26.45544125787601,0.22399773229360745,0.06728593804999737,0.006837109355502686,65.46509427639033,2.6734737141754272,0.03642420168165278,2.2559268128806473e-05,0.991885874515979,-231694.96090762562,-395.21656391152646,2exp,0.5225606623892027,0.06728593804999737,2.474541763951898,7.766268518110125,13.824572907514332,4.404880277918437,18.229453185432767,0.7583646512535881
4,FALLING,1.341518965748,1.34128199,1.3112004713505676,1.3112004713505676,0.030318494397432394,0.030081518649432315,1.6319483504780228,0.0012160685937692285,29.40888512572021,0.020901213955699147,0.008316022196408313,6.729947658390076e-05,0.029757593465750038,6.650207225315393e-05,0.9979515946992626,-215452.04194846368,1.6319483504780228,0.008316022196408313,0.27428875878191955,47.993781570316756,0.4976626343076139,0.002490811153032073,5.5528928126182615,0.05479418496763105,1.5253968132692646,0.0021200286304243385,33.438383127467844,0.03526135077517636,0.036597504862808695,2.572052099161202e-05,0.9987501185120445,-225308.04678118564,-9856.004832721956,2exp,0.4976626343076139,1.5253968132692646,6.021795171605556,0.3262512612970603,2.7634672651554193,51.006803063516195,53.770270328671614,0.05139396265378029
6,FALLING,1.3615232969879998,1.36124939,1.3111856972873643,1.3111856972873643,0.05033759970063545,0.050063692712635666,2.791052450267306,0.001112202650613051,31.519319615558796,0.011782454685300862,0.006600189545106606,6.373392122388397e-05,0.03106617652064269,6.262092350974056e-05,0.9993796894826882,-218059.01363818318,2.791052450267306,0.006600189545106606,0.13111847971216012,87.97207424376374,2.7692532731575987,0.004114076556733104,29.314494956633997,0.0405324299348628,0.1522536687406616,0.0044418721458106825,88.22245707284947,1.2560907468074516,0.035927459178797805,2.9208001379615547e-05,0.9994893859815949,-221929.58066398263,-3870.5670257994498,2exp,2.7692532731575987,0.1522536687406616,3.009516527689123,18.188417369925936,81.17926110962063,13.43219275465686,94.61145386427748,0.8580278369474623
8,FALLING,1.3815084214,1.38122657,1.311196306823841,1.311196306823841,0.07031211457615894,0.0700302631761589,3.9863101417272206,0.0013430707073030484,32.76035119279158,0.010260016968654721,0.007772652117496585,7.845004388935223e-05,0.030461838350202577,7.683820893362096e-05,0.999557281115627,-209983.48252402942,3.9863101417272206,0.007772652117496585,0.11054499163266661,130.59292020637054,4.043432627315443,0.0017180526996139532,31.574034131586764,0.021412801482000924,0.08290222977386377,0.001877197473860356,144.7964217650162,2.2264515513060523,0.03586706433665424,3.6956117856051094e-05,0.9996364506846661,-213902.30407440424,-3918.8215503748215,2exp,4.043432627315443,0.08290222977386377,4.585933528847408,48.77350872642268,127.66747978362936,12.003946227596662,139.67142601122603,0.9140558196446577
10,FALLING,1.401521644788,1.4011467,1.3112034290879544,1.3112034290879544,0.0903182157000455,0.08994327091204557,5.194174042415067,0.0015194701703835072,34.87551175889536,0.00934591382828959,0.005614259251680922,9.150967674899035e-05,0.03239518171498309,8.917922276263852e-05,0.9996655406453908,-204185.07159427108,5.194174042415067,0.005614259251680922,0.062160874283946836,181.14947789399568,5.25919387071055,0.0009693292150599345,34.491504524306734,0.01213114053179321,0.026073728725716436,0.0005482844850107153,374.23188404865044,8.76187546718643,0.035433666911753564,5.150763902736721e-05,0.9997133490948953,-207248.88215568705,-3063.810561415972,2exp,5.25919387071055,0.026073728725716436,10.849972745750277,201.70470921266522,181.3975091858192,9.757620625198278,191.15512981101747,0.9489544401196819
12,FALLING,1.421528224164,1.4208858999999998,1.3111943433011648,1.3111943433011648,0.11033388086283513,0.10969155669883501,6.544837980019581,0.0022542224810301924,36.78973387762237,0.011466740406033592,-0.00019474022856704162,0.00013929906903538438,0.03807478661980407,0.00013517675858436498,0.9995311947176158,-187675.30450491435,6.544837980019581,0.00019474022856704162,0.0017650084184851502,240.78284755707594,6.541305957782618,0.001403123077697561,36.56275245188955,0.01313341844232993,0.013902744705156312,0.00041183709843997885,787.805554389239,41.605167324381064,0.035568898082681696,0.00012558568534180208,0.9995750946721038,-189621.03593723205,-1945.731432317698,2exp,6.541305957782618,0.013902744705156312,21.54666980900464,470.50464469483853,239.16815044647612,10.952659499977724,250.12080994645385,0.9562105228176636
14,FALLING,1.441524599996,1.4400871999999998,1.31119540719986,1.31119540719986,0.13032919279614008,0.12889179280013985,7.820702118934736,0.0031286580219385836,37.26386770086821,0.013451197978478598,0.013626361825808335,0.00019452094031313758,0.026841338562391442,0.00018857418427767312,0.9994001430212174,-174391.79319878237,7.820702118934736,0.013626361825808335,0.10455341227442869,291.4296090878837,7.984045734893202,0.0022132434631078756,37.082114288251454,0.018777001770347548,0.025602061784280396,0.0010077936171844304,500.30914172449116,25.13421469696717,0.03591661160460024,0.000141134961534311,0.9993142830640132,-171697.71799261658,2694.075206165784,1exp,7.984045734893202,0.025602061784280396,13.491925995249996,311.8516704695786,296.06529642393633,12.80894555767072,308.87424198160704,0.9585302242249341
16,FALLING,1.461520712552,1.4581638,1.3111920288509424,1.3111920288509424,0.15032868370105756,0.14697177114905746,8.962733837267768,0.004381403866094019,39.45560877419822,0.017184541083871227,0.01226526532328571,0.0002798864700330024,0.027598255052291906,0.00027012312296194145,0.999113185644943,-160132.85346160387,8.962733837267768,0.01226526532328571,0.08158965422511329,353.6301198305054,9.109857049666852,0.0029021397238215493,39.41375746320548,0.020688389986389926,0.013945556304896143,0.0007346062870995794,1014.5086023272652,122.20399424706962,0.034863814707862505,0.0003651723192509214,0.9990518627576708,-158776.37721756622,1356.4762440376508,1exp,9.109857049666852,0.013945556304896143,25.739961567337364,653.2444350368779,359.0536962800419,14.147886835556365,373.2015831155983,0.9620904961939185
18,FALLING,1.481536111228,1.4744473999999999,1.311198037378369,1.311198037378369,0.17033807384963118,0.16324936262163092,10.112648284786498,0.004053691338179964,41.73952076392287,0.014727970614367602,-0.006929744701864174,0.0002658581491749099,0.04230267959478375,0.0002554789640955983,0.9993828779419537,-162453.62812244412,10.112648284786498,0.006929744701864174,0.04068230047019038,422.09709306109505,627.343928121381,0.0013376434256391948,50.533652894145156,0.08263214227054945,-617.399079706706,0.0013376434228647778,50.678793110178646,0.08395529532654558,0.037734930992177826,0.0001164247038704314,0.9994764355955855,-165720.47798756397,-3266.849865119846,2exp,627.343928121381,617.399079706706,1.002872149700666,1.0161076502080297,31701.98030893542,31289.040226870846,62991.02053580627,0.5032777694229438
20,FALLING,1.501542275284,1.4886446,1.311199685518776,1.311199685518776,0.190342589765224,0.17744491448122401,10.822020714463722,0.004958736353289336,44.198210120524685,0.017617442444036433,-0.019473112764127755,0.0003339293720675432,0.052819283540759335,0.00031951247168504404,0.999187059845483,-153588.04570229803,10.822020714463722,0.019473112764127755,0.10230559954105203,478.3139454665382,924.5094648032295,0.0015194855938506376,56.14452007230075,0.08051359876685017,-914.0465667879346,0.001519485591523247,56.28719408115201,0.08143034799277306,0.03891052042274401,0.00014119707064253156,0.9993548751484952,-158190.43130212437,-4602.385599826346,2exp,924.5094648032295,914.0465667879346,1.0025411920641147,1.0114467888130283,51906.14020367695,51449.11650400314,103355.25670768009,0.502210935922526
