Step,Type,V_initial,V_initial_RHE,V_final,V_final_RHE,dV,dV_RHE,A_1exp (mA),A_1exp_err,tau_1exp (ms),tau_1exp_err (ms),B_1exp (mA·s^0.5),B_1exp_err,C_1exp (mA),C_1exp_err,R2_1exp,BIC_1exp,|A|_1exp,|B|_1exp,|B|/dV_1exp,Q_exp_1exp (mC),A1_2exp (mA),A1_2exp_err,tau1_2exp (ms),tau1_2exp_err (ms),A2_2exp (mA),A2_2exp_err,tau2_2exp (ms),tau2_2exp_err (ms),C_2exp (mA),C_2exp_err,R2_2exp,BIC_2exp,delta_BIC,Best_Model,|A1|_2exp,|A2|_2exp,tau2/tau1,|A1|/|A2|,Q_fast (mC),Q_slow (mC),Q_total_2exp (mC),Q_fast/Q_total
2,FALLING,1.3215385197041183,1.321130626,1.3111963151467574,1.3111963151467574,0.010342204557360901,0.00993431085324259,-0.11515504740688076,0.0006012924928600252,565.5257723104809,3.4240548911290762,0.05131687181161064,0.00011486181840483337,-0.0068877456000365385,0.00013018034525828822,0.933674451274623,-186398.16512389184,0.11515504740688076,0.05131687181161064,4.961889075679388,65.12314712022628,0.735676306990336,0.005193268787345869,17.46068526564951,0.11159674883077027,0.074722975643181,0.005639777954105463,50.618011659425825,1.7838134817207472,0.02335808073074509,2.4656331530859283e-05,0.9915686717013137,-227612.21237371152,-41214.047249819676,2exp,0.735676306990336,0.074722975643181,2.8989705094224956,9.845382904762193,12.845412453753607,3.782328452333528,16.627740906087134,0.7725290240149892
4,FALLING,1.3415101649680001,1.3411239,1.3111993631356567,1.3111993631356567,0.03031080183234347,0.029924536864343265,2.2350769130332546,0.0011497716778706897,20.059334347629044,0.010773480896211824,0.006254058865333404,5.175125686343431e-05,0.019301734893813982,5.2824919892800694e-05,0.9988103785204955,-223275.988155369,2.2350769130332546,0.006254058865333404,0.20633102680444246,44.83415509120066,2.245254117068227,0.0030622611818099973,18.373847965226954,0.03027690972192904,0.1365655447153671,0.0034138065227425295,64.66715651651452,0.8917589486453308,0.02417540673052115,2.6390414162718284e-05,0.9989216022631833,-225218.4748421677,-1942.4866867986857,2exp,2.245254117068227,0.1365655447153671,3.51952169403486,16.440853523836008,41.25395779031148,8.831305454871709,50.08526324518319,0.8236745724657635
6,FALLING,1.361539115044,1.3610708,1.3112023275403768,1.3112023275403768,0.05033678750362314,0.049868472459623225,3.7637902428336045,0.0013292360007075893,20.31816634911289,0.007470141526172604,0.01070372744847634,6.027212445779183e-05,0.015985477360534548,6.145451036039225e-05,0.9994421115642838,-217277.9690265833,3.7637902428336045,0.01070372744847634,0.21264224395936887,76.47331625706117,3.7737917115746225,0.003862527515098629,18.60072256721399,0.021962027553852147,0.23808951637021683,0.004288996098856411,63.410843912861964,0.6144024705263726,0.024367689105777756,3.0730542453968556e-05,0.9994914318745615,-219108.52644431364,-1830.5574177303351,2exp,3.7737917115746225,0.23808951637021683,3.4090527227491263,15.850306091203832,70.19525265345118,15.097457159840612,85.2927098132918,0.8229924082270409
8,FALLING,1.38152703286,1.38087964,1.3112012607705386,1.3112012607705386,0.07032577208946145,0.06967837922946152,5.309481415676759,0.001293948655166474,21.290206596130187,0.005344257326122704,0.01177478249794105,6.025385149830326e-05,0.015236015083002657,6.118902267333206e-05,0.9997324387908905,-217637.42218254646,5.309481415676759,0.01177478249794105,0.16743196907902191,113.03995625807197,5.436099074090775,0.0012652965255752265,20.496838562455682,0.009034192585283832,0.11490224745517191,0.0012891616108617685,114.84460920346176,0.9780229055036086,0.023977543751804904,2.9288370541695578e-05,0.9997875395275055,-222227.38877585818,-4589.966593311721,2exp,5.436099074090775,0.11490224745517191,5.603040139752287,47.31064182370863,111.42284513115342,13.195903705588679,124.6187488367421,0.8941098042729021
10,FALLING,1.4015178895,1.4002212,1.3111909663983197,1.3111909663983197,0.09032692310168033,0.08903023360168039,6.914991269572964,0.0017912715636538164,22.23627460017014,0.005873514265610654,0.01199272497956301,8.546773130553519e-05,0.014806061940893974,8.647083316465783e-05,0.99969713801154,-203979.56447283417,6.914991269572964,0.01199272497956301,0.13277021476822465,153.76364472800356,7.062782444642162,0.0011852759773668049,21.686944277971932,0.007269560551726795,0.0896301971657623,0.0009416839413580504,164.6580192487003,1.5495132877792328,0.023113476524870953,3.729452629573396e-05,0.9998147019269495,-213781.56627373042,-9802.00180089625,2exp,7.062782444642162,0.0896301971657623,7.592495149994381,78.79913988786876,153.17016932439296,14.758330730184891,167.92850005457785,0.9121153900297547
12,FALLING,1.421524859128,1.418227,1.311200045921296,1.311200045921296,0.11032481320670406,0.10702695407870388,8.43396235219245,0.0017566988400658868,23.070453042684605,0.0048577443308229565,0.015092819523844624,8.553953816355522e-05,0.012869486110756655,8.627120555347909e-05,0.999807038503205,-204212.32839495907,8.43396235219245,0.015092819523844624,0.13680349039491946,194.57533241002574,8.616811977523003,0.001257456279434457,22.529538210360613,0.00657611429996132,0.10688979884175012,0.0010476694608377232,163.37485980957476,1.4042648359603231,0.023522946269853753,3.945860661762193e-05,0.9998662228321732,-211515.52911228215,-7303.200717323081,2exp,8.616811977523003,0.10688979884175012,7.251584931929226,80.613978797735,194.1327946990975,17.46310590084457,211.59590059994207,0.9174695452448225
14,FALLING,1.4415274611559998,1.4339553999999999,1.3111938387224362,1.3111938387224362,0.1303336224335636,0.12276156127756366,9.728501086417939,0.003023235892964992,24.476225542628637,0.007582024412280061,0.012255383792452801,0.00015201604798585638,0.016454848425647272,0.00015254599679875218,0.9995721048192661,-181642.4173438006,9.728501086417939,0.012255383792452801,0.09403086911590962,238.11698678287323,9.883291373330824,0.001919358617355946,24.05652429746491,0.009000255510039244,0.08005681231548083,0.0011790076127021392,234.5076717286698,3.501980017225317,0.02395646563005837,7.271783808451718e-05,0.9997033106084431,-188943.16531414966,-7300.747970349068,2exp,9.883291373330824,0.08005681231548083,9.748194245724115,123.45347119722454,237.7576390614583,18.77393666212251,256.5315757235808,0.9268162735555335
16,FALLING,1.461532703696,1.4469462,1.3111999831416572,1.3111999831416572,0.15033272055434277,0.13574621685834276,10.748979800776981,0.002282299332266694,25.13119491954543,0.0052855402112659934,0.020381600940754724,0.00011639343301740212,0.009568501222432944,0.00011653805643930912,0.9998061715871172,-192502.195029207,10.748979800776981,0.020381600940754724,0.1355766121014694,270.13470655958287,10.986698711175531,0.0015439526744946137,24.50245494831835,0.006880927690410762,0.14287976760478024,0.0013192998213459154,173.74980608067057,1.3967318201143468,0.02372488157070353,5.0457305449435535e-05,0.9998795365646197,-201990.64895016098,-9488.453920953965,2exp,10.986698711175531,0.14287976760478024,7.0911182755830495,76.89471291390844,269.2010902013257,24.825331914181845,294.02642211550756,0.915567683558625
18,FALLING,1.4815245995119999,1.4576832,1.3111919044082205,1.3111919044082205,0.17033269510377935,0.14649129559177942,11.390404704145762,0.003674588771702184,26.758033047857257,0.008422587549216246,0.016285996710007595,0.00019370321531621246,0.013479143797406463,0.0001929211688491723,0.9995561816688692,-172565.73196040167,11.390404704145762,0.016285996710007595,0.09561286340291249,304.78482550200107,11.581954268969668,0.002343563617573769,26.197393663734317,0.010508212103854166,0.11456964288334506,0.001693669159466753,220.86378649693583,3.113428301473671,0.02357969161511936,8.906520325701975e-05,0.9997022802787152,-180527.5885853932,-7961.856624991546,2exp,11.581954268969668,0.11456964288334506,8.430754193791532,101.09095199644138,303.41701537956664,25.304285144817307,328.72130052438393,0.9230220703542749
20,FALLING,1.5015409365880001,1.4665439999999998,1.3111842468318415,1.3111842468318415,0.1903566897561586,0.1553597531681583,12.002903308277064,0.0029340587854920844,27.227504812793747,0.006466834960517665,0.024236814787609185,0.00015607457708468453,0.0068954076417323635,0.0001552179423713766,0.9997513751300263,-181317.9576073625,12.002903308277064,0.024236814787609185,0.12732315748217643,326.8091075936117,12.25016323066354,0.001738898492206785,26.31392011471377,0.0072393091580166,0.21236852183506832,0.0016876844314306183,159.87695659216737,1.0203128357823994,0.023461209917068643,5.16698325932623e-05,0.9999060006529613,-200742.54518292387,-19424.587575561367,2exp,12.25016323066354,0.21236852183506832,6.075755945719775,57.68351695821182,322.34981664388437,33.95283294696797,356.30264959085235,0.9047078853161588
